
# Description of the Experiment:
#  - We generate the costs to up to 5000 tasks for 10 and 100 resources.
#  - All resources costs follow random functions with RNG seeds starting at 100.
#  - Accuracy costs were later normalized.
#  - We schedule from 1000 to 5000 tasks in increments of 100.
#  - We run adapted versions of OLAR; MC²MKP; ELASTIC; and FedAECS; and
#    MEC and ECMTC schedulers.
#  - We use no lower or upper task assignment limits for resources.
#  - Every result is verified and logged to a CSV file.
Scheduler_Name,Num_Tasks,Num_Resources,Num_Selected_Resources,Makespan,Energy_Consumption,Training_Accuracy
MEC,4300,10,10,12.945087678611355,59.48730897175791,0.0022655444740836707
ECMTC,4300,10,10,21.796675586390755,54.1724098983326,0.0004994847061125895
OLAR,4400,10,10,4930.201031329854,29467.107289812862,0.07347647751828487
ELASTIC,4400,10,10,4264.404084962637,21736.74213024326,0.003152656063816141
FedAECS,4400,10,1,3851.9213440782028,3851.9213440782028,0.5711972226066404
MC²MKP,4400,10,10,20.41772196553715,56.283593797905596,0.000499484744917392
MEC,4400,10,10,15.357367771280938,82.88271358448506,0.002390456998951682
ECMTC,4400,10,10,20.41772196553715,56.283593797905596,0.000499484744917392
OLAR,4500,10,10,4930.201031329854,29167.57123028083,0.07347647751828487
ELASTIC,4500,10,10,4758.745479916363,17939.301889927196,0.1503449401225298
FedAECS,4500,10,1,4679.106703071556,4679.106703071556,0.6605323668133993
MC²MKP,4500,10,10,18.016217503136755,52.76653597183933,0.0004994847061125901
MEC,4500,10,10,15.56323101095436,62.93631030213298,0.0030563006492600035
ECMTC,4500,10,10,18.016217503136755,52.76653597183933,0.0004994847061125901
OLAR,4600,10,10,4930.201031329854,28169.94687761787,0.07347647751828487
ELASTIC,4600,10,10,4861.077417550775,27221.088465821897,0.6368210279056965
FedAECS,4600,10,1,369.46641559547635,369.46641559547635,0.07129072184882519
MC²MKP,4600,10,10,18.016217503136755,55.01449162396643,0.0010562791506332678
MEC,4600,10,10,12.945087678611355,61.65105244123892,0.002390456980277882
ECMTC,4600,10,10,18.016217503136755,55.01449162396643,0.0010562791506332678
OLAR,4700,10,10,4930.201031329854,25634.2673432413,0.07347647751828487
ELASTIC,4700,10,10,4976.039030447252,30396.732424157915,0.8019014059662655
FedAECS,4700,10,1,4140.225851779794,4140.225851779794,0.6032478060523485
MC²MKP,4700,10,10,18.016217503136755,53.097770200188904,0.0004994846580253709
MEC,4700,10,10,12.945087678611355,60.599450247438284,0.0023904569802712535
ECMTC,4700,10,10,18.016217503136755,53.097770200188904,0.0004994846580253709
ELASTIC,4800,10,10,4791.288044488012,27620.65305125049,0.8063325737421291
OLAR,4800,10,10,4930.201031329854,26881.18825213024,0.07347647751828487
FedAECS,4800,10,1,3471.847717172651,3471.847717172651,0.5273112845667409
MC²MKP,4800,10,10,20.41772196553715,50.6602316498539,0.0004994847061125903
MEC,4800,10,10,11.226184100584513,53.487963976621145,0.0004994847061129756
ECMTC,4800,10,10,20.41772196553715,50.6602316498539,0.0004994847061125903
ELASTIC,4900,10,10,4385.961029308731,25386.634821732412,0.7637722020466846
OLAR,4900,10,10,4930.201031329854,27904.872141203115,0.07347647751828487
FedAECS,4900,10,1,2646.1669127803416,2646.1669127803416,0.4247670287165439
MC²MKP,4900,10,10,12.945087678611355,44.4870572881717,0.0004994847449173915
MEC,4900,10,10,11.951989350801329,55.97083803852543,0.0023904569414664517
ECMTC,4900,10,10,12.945087678611355,44.4870572881717,0.0004994847449173915
ELASTIC,5000,10,10,4983.548292520389,26831.02992873615,0.008618915458649599
OLAR,5000,10,10,4930.201031329854,28110.513676369803,0.07347647751828487
FedAECS,5000,10,1,1451.1870806708005,1451.1870806708005,0.25482655437587237
MC²MKP,5000,10,10,12.945087678611355,52.04784004040563,0.0023904569802716343
MEC,5000,10,10,11.32742767895989,56.070314344175415,0.0022655443871916524
ECMTC,5000,10,10,12.945087678611355,52.04784004040563,0.0023904569802716343
OLAR,1000,100,94,4521.315836487609,226873.35757806842,0.6551534168965053
ELASTIC,1000,100,100,4989.069085906633,255596.85394117617,0.9405133051328899
FedAECS,1000,100,1,2447.9783865684462,2447.9783865684462,0.39862501964744057
MC²MKP,1000,100,95,623.0405961069241,20223.79809798562,0.04500513744249503
MEC,1000,100,94,466.7202899000367,24487.283836566756,0.04500513842981729
ECMTC,1000,100,95,623.0405961069241,20223.79809798562,0.04500513744249503
