
# Description of the Experiment:
#  - We generate the costs to up to 5000 tasks for 10 and 100 resources.
#  - All resources costs follow nlogn functions with RNG seeds starting at 100.
#  - Time costs were generated using uniformly distributed values ranging from 1 to 10.
#  - Energy costs were generated using uniformly distributed values ranging from 0.32 to 3.2.
#  - Accuracy costs were generated using uniformly distributed values ranging from 0.2 to 2.0 (then normalized).
#  - We schedule from 1000 to 5000 tasks in increments of 100.
#  - We run MEC followed by ECMTC.
#  - We use no lower or upper task assignment limits for resources.
#  - We use relaxation percentages of 0.25 (25%); 0.50 (50%); 0.75 (75%); 1.0 (100%);
#    1.25 (125%); 1.50 (150%); 1.75 (175%); and 2.0 (200%) for the minimal makespan found
#    to evaluate the potential energy consumption reductions.
#  - Every result is verified and logged to a CSV file.
Scheduler_Name,Num_Tasks,Num_Resources,Time_Limit,Makespan_Relaxation_Percentage,Makespan,Energy_Consumption
ECMTC,4200,10,11883.6407663618,0.25,11880.3891715844,24939.8513343432
ECMTC,4200,10,14260.3689196341,0.5,14254.1338154421,22346.9807577198
ECMTC,4200,10,16637.0970729065,0.75,16633.2316175094,20949.4332118684
ECMTC,4200,10,19013.8252261788,1,19012.1028657205,19924.7039027363
ECMTC,4200,10,21390.5533794511,1.25,21380.5802554595,19071.1659341684
ECMTC,4200,10,23767.2815327235,1.5,23764.7455819651,18366.7944504045
ECMTC,4200,10,26144.0096859958,1.75,26138.6609867096,17759.1235395655
ECMTC,4200,10,28520.7378392682,2,28511.0754605371,17186.8236473023
MEC,4300,10,inf,0,9765.22487467702,31209.7311459859
ECMTC,4300,10,12206.5310933463,0.25,12205.3582185866,25635.5269892553
ECMTC,4300,10,14647.8373120155,0.5,14641.7026271469,22961.3345366646
ECMTC,4300,10,17089.1435306848,0.75,17083.4164389197,21524.3311115075
ECMTC,4300,10,19530.449749354,1,19528.4478395323,20470.2137868948
ECMTC,4300,10,21971.7559680233,1.25,21971.3576889459,19588.7537600074
ECMTC,4300,10,24413.0621866926,1.5,24407.8143514867,18867.3600497577
ECMTC,4300,10,26854.3684053618,1.75,26845.8900028305,18242.6251978017
ECMTC,4300,10,29295.6746240311,2,29294.6504254637,17651.3085504569
MEC,4400,10,inf,0,10027.8713548933,32052.0919646319
ECMTC,4400,10,12534.8391936166,0.25,12533.8141174208,26321.3710529836
ECMTC,4400,10,15041.8070323399,0.5,15034.9323758801,23574.9238186221
ECMTC,4400,10,17548.7748710632,0.75,17543.2011816743,22098.9479580213
ECMTC,4400,10,20055.7427097865,1,20046.2023403208,21017.3520965933
ECMTC,4400,10,22562.7105485098,1.25,22552.3506522963,20111.3572855559
ECMTC,4400,10,25069.6783872331,1.5,25064.1272482599,19366.3322979227
ECMTC,4400,10,27576.6462259564,1.75,27566.6288636018,18724.6128584921
ECMTC,4400,10,30083.6140646798,2,30080.3130495916,18117.1119307605
MEC,4500,10,inf,0,10296.604354204,32891.908462163
