
# Description of the Experiment:
#  - We generate the costs to up to 2000 tasks for 100 resources.
#  - All resources costs follow linear functions with RNG seeds starting at 100.
#  - Time costs were generated using uniformly distributed values ranging from 1 to 10.
#  - Energy costs were generated using uniformly distributed values ranging from 0.32 to 3.2.
#  - Accuracy costs were generated using uniformly distributed values ranging from 0.2 to 2.0 (then normalized).
#  - We schedule from 200 to 2000 tasks in increments of 200.
#  - We run adapted versions of OLAR; MC²MKP; ELASTIC; and FedAECS; and
#    MEC and ECMTC schedulers.
#  - We use no lower or upper task assignment limits for resources.
#  - Each sample is composed of 5 executions of the schedulers.
#  - We get 20 samples for each pair (scheduler; tasks)
#  - The order of execution of the different schedulers is randomly defined.
#    We set shuffle seed at 1000 and increase it every time we need a new order.
#  - Every result is logged to a CSV file.
Scheduler_Name,Num_Tasks,Num_Resources,Execution_Time
ECMTC,400,100,31.872286550002173
OLAR,400,100,0.012798103998648003
MEC,400,100,17.362767528000404
FedAECS,400,100,0.47579863799910527
MC²MKP,400,100,10.41458550200332
ECMTC,400,100,31.53945257399755
ELASTIC,400,100,0.02763090499502141
OLAR,400,100,0.013395203000982292
ECMTC,400,100,31.611001192999538
OLAR,400,100,0.013172288003261201
MEC,400,100,17.388016577999224
MC²MKP,400,100,10.454063165991101
FedAECS,400,100,0.47573238499171566
ELASTIC,400,100,0.026671011990401894
OLAR,400,100,0.01293289898603689
FedAECS,400,100,0.48133480799151585
MC²MKP,400,100,10.371254205005243
ELASTIC,400,100,0.027027586998883635
MEC,400,100,17.36516237600881
ECMTC,400,100,31.999984093999956
MC²MKP,400,100,10.435567577005713
ELASTIC,400,100,0.026631557004293427
ECMTC,400,100,31.860457811999368
MEC,400,100,17.35490325500723
FedAECS,400,100,0.47906440700171515
OLAR,400,100,0.01323769699956756
ELASTIC,400,100,0.02712396500282921
MC²MKP,400,100,10.435708677003277
MEC,400,100,17.325553816001047
OLAR,400,100,0.012697932994342409
FedAECS,400,100,0.47162229400419164
ECMTC,400,100,31.665019980006036
ECMTC,400,100,31.750242756999796
MC²MKP,400,100,10.535727383001358
OLAR,400,100,0.012892660000943579
FedAECS,400,100,0.49338677199557424
ELASTIC,400,100,0.027249464008491486
MEC,400,100,17.44196930900216
MC²MKP,400,100,10.47094505300629
FedAECS,400,100,0.48689105101220775
ECMTC,400,100,31.7207922499947
ELASTIC,400,100,0.026647100006812252
MEC,400,100,17.37988585299172
OLAR,400,100,0.012929828008054756
MC²MKP,400,100,10.400769241008675
ECMTC,400,100,31.646218891008175
MEC,400,100,17.24343677100842
ELASTIC,400,100,0.0269729410065338
OLAR,400,100,0.014553050001268275
FedAECS,400,100,0.476346094001201
ELASTIC,600,100,0.028256828998564743
FedAECS,600,100,0.7171572450024541
MC²MKP,600,100,23.537948519006022
ECMTC,600,100,71.45665352899232
MEC,600,100,39.219757792991004
OLAR,600,100,0.019212090002838522
ECMTC,600,100,71.82956121698953
ELASTIC,600,100,0.026790853997226804
OLAR,600,100,0.020088905992452055
FedAECS,600,100,0.7025734539929545
MEC,600,100,39.03269326699956
MC²MKP,600,100,23.741014356986852
ECMTC,600,100,72.48742329599918
FedAECS,600,100,0.7106636060052551
OLAR,600,100,0.018996879007318057
MC²MKP,600,100,23.76087428801111
ELASTIC,600,100,0.027092158008599654
MEC,600,100,39.04925786900276
ECMTC,600,100,71.90193003800232
OLAR,600,100,0.022100421992945485
MEC,600,100,39.14193108200561
